1.00	1.81E-1	9.46	17.54
1.25	7.48E-2	8.93	12.23
1.55	2.42E-2	5.41	18.08
1.80	1.21E-2	6.93	14.27
2.00	7.56E-3	6.36	13.47
2.20	4.41E-3	7.78	11.57
2.45	2.29E-3	7.54	12.79
2.75	1.19E-3	8.74	11.91
3.15	4.03E-4	8.20	11.53
3.70	1.63E-4	8.09	12.36
4.25	5.18E-5	13.12	13.47
4.75	2.63E-5	15.71	13.68
5.75	3.18E-6	27.37	35.83
7.50	5.36E-7	43.04	32.91
