0.55	8.81704	0.0825785
0.65	5.51375	0.0493883
0.75	3.46342	0.0308561
0.85	2.27845	0.0206474
0.95	1.50605	0.013896
1.05	0.975333	0.00826547
1.15	0.653001	0.00548313
1.25	0.452591	0.00380922
1.35	0.313812	0.00263086
1.45	0.216657	0.00179615
1.55	0.153744	0.00127777
1.65	0.111439	0.00093172
1.75	0.0798748	0.000665725
1.85	0.0567136	0.000468131
1.95	0.0415211	0.000344688
2.1	0.0271059	0.000162771
2.3	0.0148221	8.94956e-05
2.5	0.00848017	5.32219e-05
2.7	0.00508742	3.49221e-05
2.9	0.0031445	2.44469e-05
3.25	0.00142799	9.13894e-06
3.75	0.000456594	4.76396e-06
4.25	0.000167513	3.0145e-06
4.75	7.49709e-05	2.21309e-06
5.25	3.96818e-05	3.23467e-06
5.75	1.31544e-05	2.02287e-06
